acm_first(value)	dblp_first(value)
"#*RETINA: a real-time traffic navigation system #@Kam-Yiu Lam, Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e350"	#*RETINA: A REal-time TraffIc NAvigation System. #@Kam-yiu Lam, Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung #t2001 #cSIGMOD Conference #index53e9a61fb7602d9702f4b943 #%53e9b2aab7602d9703d536d8
"#*COSIMA- your smart, speaking E-salesperson #@Werner Kieβling, Stefan Holland, Stefan Fischer, Thorsten Ehm #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e339 #!We present a new cooperative user interface for e-shopping. COSIMA is an intelligent Internet avatar with dynamic voice output that assists customers through their e-shopping tours and advises them like a real salesperson. COSIMA uses a meta search engine based on Preference SQL, computing best matching results to the customer's wishes. COSIMA can qualify these results and generates proper voice output. Our presentation shows COSIMA in action for comparison shopping."	#*COSIMA - Your Smart, Speaking E-Salesperson. #@Werner Kießling, Stefan Holland, Stefan Fischer 0003, Thorsten Ehm #t2001 #cSIGMOD Conference #index53e99d0cb7602d97025bf967 #%53e9b2aab7602d9703d536d8
"#*Models and languages for describing and discovering E-services #@Fabio Casati, Ming-Chien Shan #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e36c"	#*Models and Languages for Describing and Discovering E-Services. #@Fabio Casati, Ming-Chien Shan #t2001 #cSIGMOD Conference #index53e9ba17b7602d970461f57c #%53e9b2aab7602d9703d536d8
"#*Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation #@Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e351"	#*Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation. #@Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen M. Thomas, Debra E. VanderMeer #t2001 #cSIGMOD Conference #index53e9ace1b7602d97036bc3fb #%53e9b2aab7602d9703d536d8
"#*VQBD: exploring semistructured data #@Sudarshan S. Chawathe, Thomas Baby, Jihwang Yoo #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e340"	#*VQBD: Exploring Semistructured Data. #@Sudarshan S. Chawathe, Thomas Baby, Jihwang Yeo #t2001 #cSIGMOD Conference #index53e99ac4b7602d970234037a #%53e9b2aab7602d9703d536d8
"#*Quality of service in multimedia digital libraries #@Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Saïd Hacid #t2001 #cACM SIGMOD Record #index5390881220f70186a0d7dbe7 #!There is currently considerable interest in developing multimedia digital libraries. However, it has become clear that existing architectures for management systems do not support the particular requirements of continuous media types. This is particularly the case in the important area of quality of service support. In this correspondence, we discuss quality of service issues within digital libraries and present a reference architecture able to support some quality aspects."	#*Quality of Service in Multimedia Digital Libraries. #@Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Said Hacid #t2001 #cSIGMOD Record #index53e99d7ab7602d97026369c3
"#*SQL and management of external data #@Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz, Kathy Zeidenstein #t2001 #cACM SIGMOD Record #index5390881220f70186a0d7dbff #!In late 2000, work was completed on yet another part of the SQL standard [1], to which we introduced our readers in an earlier edition of this column [2].Although SQL database systems manage an enormous amount of data, it certainly has no monopoly on that task. Tremendous amounts of data remain in ordinary operating system files, in network and hierarchical databases, and in other repositories. The need to query and manipulate that data alongside SQL data continues to grow. Database system vendors have developed many approaches to providing such integrated access.In this (partly guested) article, SQL's new part, Management of External Data (SQL/MED), is explored to give readers a better notion of just how applications can use standard SQL to concurrently access their SQL data and their non-SQL data."	#*SQL and Management of External Data. #@Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein #t2001 #cSIGMOD Record #index53e9a07ab7602d9702963797
"#*XML and information retrieval: a SIGIR 2000 workshop #@David Carmel, Yoelle Maarek, Aya Soffer #t2001 #cACM SIGMOD Record #index5390881220f70186a0d7dbfb #!XML - the eXtensible Markup Language has recently emerged as a new standard for data representation and exchange on the Interact. It is believed that it will become a universal format for data exchange on the Web and that in the near future we will find vast amounts of documents in XML format on the Web. As a result, it has become crucial to address the question of how large collections of XML documents can be sorted and retrieved efficiently and effectively.To date, most work on storing, indexing, querying, and searching documents in XML has stemmed from the database community's work on semi-structured data. An alternative approach, that has received less attention to date, is to view XML documents as a collection of text documents with additional tags and relations between these tags. IR techniques have traditionally been applied to search large sets of textual data and should thus be extended to encode the structure and semantics inherent in XML documents. Integrating IR and XML search techniques will enable more sophisticated search on the structure as well as the content of these documents, while leveraging the success of IR techniques in document similarity ranking and keyword search.The SIGIR workshop on XML and information retrieval was held July 28th, in Athens Greece. The goal of the workshop was to bring together researchers and practitioners interested in XML and IR to discuss and define the most relevant topics in the relation between these two technologies, present recent results, and propose future directions for research. The topics for discussion included:• How to extend IR technologies to search XML documents• How to integrate XML structure in IR indexing structures• How to query XML documents both on content and structure• How to introduce the semantics inherent in XML into the search process• How to adopt database indexing techniques in an IR frameworkThe opening session of the workshop consisted of a survey of search engines for XML documents. This was followed by three technical sessions: query languages, retrieval algorithms, and IR systems for XML documents. The final talk of the day, \"Searching Annotated Language Resources in XML\", by Nancy Ide was given from the perspective of potential users of XML search systems and opened many topics for discussion. The workshop was concluded with a panel discussion where the panelists outlined their vision of the future of XML search."	#*XML and Information Retrieval: a SIGIR 2000 Workshop. #@David Carmel, Yoëlle S. Maarek, Aya Soffer #t2001 #cSIGMOD Record #index53e9abc5b7602d9703578ecd
"#*Materialized view selection and maintenance using multi-query optimization #@Hoshi Mistry, Prasan Roy, S. Sudarshan, Krithi Ramamritham #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e307 #%5390877f20f70186a0d2fd55 #%539087d420f70186a0d5df46 #%539087d920f70186a0d5ff83 #%539087d920f70186a0d5ff9d #%539087f820f70186a0d72b8c #%5390880220f70186a0d75f03 #%5390878720f70186a0d35792 #%5390881720f70186a0d7fbca #%53908a4020f70186a0d9f49e #%53908a5720f70186a0da0add #%53908a9620f70186a0da4744 #%53908b2a20f70186a0db94a8 #%53908b2a20f70186a0db94b4 #!Materialized views have been found to be very effective at speeding up queries, and are increasingly being supported by commercial databases and data warehouse systems. However, whereas the amount of data entering a warehouse and the number of materialized views are rapidly increasing, the time window available for maintaining materialized views is shrinking. These trends necessitate efficient techniques for the maintenance of materialized views.In this paper, we show how to find an efficient plan for the maintenance of a set of materialized views, by exploiting common subexpressions between different view maintenance expressions. In particular, we show how to efficiently select (a) expressions and indices that can be effectively shared, by transient materialization; (b) additional expressions and indices for permanent materialization; and (c) the best maintenance plan — incremental or recomputation — for each view. These three decisions are highly interdependent, and the choice of one affects the choice of the others. We develop a framework that cleanly integrates the various choices in a systematic and efficient manner. Our evaluations show that many-fold improvement in view maintenance time can be achieved using our techniques. Our algorithms can also be used to efficiently select materialized views to speed up workloads containing queries and updates."	#*Materialized View Selection and Maintenance Using Multi-Query Optimization. #@Hoshi Mistry, Prasan Roy, S. Sudarshan 0001, Krithi Ramamritham #t2001 #cSIGMOD Conference #index53e9ab07b7602d9703487d76 #%53e9b2aab7602d9703d536d8
"#*Re-designing distance functions and distance-based applications for high dimensional data #@Charu C. Aggarwal #t2001 #cACM SIGMOD Record #index5390881220f70186a0d7dbbb #!In recent years, the detrimental effects of the curse of high dimensionality have been studied in great detail on several problems such as clustering, nearest neighbor search, and indexing. In high dimensional space the data becomes sparse, and traditional indexing and algorithmic techniques fail from the performance perspective. Recent research results show that in high dimensional space, the concept of proximity may not even be qualitatively meaningful [6]. In this paper, we try to outline the effects of generalizing low dimensional techniques to high dimensional applications and the natural effects of sparsity on distance based applications. We outline the guidelines required in order to re-design either the distance functions or the distance-based applications in a meaningful way for high dimensional domains. We provide novel perspectives and insights on some new lines of work for broadening application definitions in order to effectively deal with the dimensionality curse."	#*Re-designing Distance Functions and Distance-Based Applications for High Dimensional Data. #@Charu C. Aggarwal #t2001 #cSIGMOD Record #index53e99cc2b7602d9702578f47
"#*Applying the golden rule of sampling for query estimation #@Yi-Leh Wu, Divyakant Agrawal, Amr El Abbadi #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e31c #%539087cf20f70186a0d5bdf1 #%539087d420f70186a0d5df3e #%539087d920f70186a0d5ff8b #%539087dd20f70186a0d64497 #%539087e720f70186a0d69669 #%539087e720f70186a0d69673 #%539087eb20f70186a0d6c218 #%539087f320f70186a0d6f871 #%539087f320f70186a0d6f85c #%5390879920f70186a0d40c27 #%539089bb20f70186a0d9940c #!Query size estimation is crucial for many database system components. In particular, query optimizers need efficient and accurate query size estimation when deciding among alternative query plans. In this paper we propose a novel sampling technique based on the golden rule of sampling, introduced by von Neumann in 1947, for estimating range queries. The proposed technique randomly samples the frequency domain using the cumulative frequency distribution and yields good estimates without any a priori knowledge of the actual underlying distribution of spatial objects. We show experimentally that the proposed sampling technique gives smaller approximation error than the Min-Skew histogram based and wavelet based approaches for both synthetic and real datasets. Moreover, the proposed technique can be easily extended for higher dimensional datasets."	#*Using the Golden Rule of Sampling for Query Estimation. #@Yi-Leh Wu, Divyakant Agrawal, Amr El Abbadi #t2001 #cSIGMOD Conference #index53e9a69fb7602d9702fd1482 #%53e9b2aab7602d9703d536d8
"#*Online query processing: a tutorial #@Peter J. Haas, Joseph M. Hellerstein #t2001 #cSIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data #index5390881220f70186a0d7e362"	#*Online Query Processing. #@Peter J. Haas, Joseph M. Hellerstein #t2001 #cSIGMOD Conference #index53e9983db7602d9702063c27 #%53e9b2aab7602d9703d536d8
"#*EIHA?!?: deploying Web and WAP services using XML technology #@Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu #t2001 #cACM SIGMOD Record #index5390881220f70186a0d7dbb6 #!The exponential growth of resources on the web, and the wide deployment of devices for multimodal access to the Internet, lead to new problems in information management. In this context, and as part of the European project Vision, we have built an interactive telematic handbook of the culture and the territory of Sardinia. A team of cultural experts browsed the web to get a large collection of Internet resources.The system built for the management of this data uses emerging Internet technologies such as the XML language suite and its applications. The result obtained is a multimodal service, called Eiha?!?, available through PCs and mobile phones."	#*EIHA?!?: Deploying Web and WAP services using XML Technology. #@Chiara Biancheri, Jean-Christophe R. Pazzaglia, Gavino Paddeu #t2001 #cSIGMOD Record #index53e9babab7602d97046e7c3c
"#*Data mining-based intrusion detectors: an overview of the columbia IDS project #@Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d97055 #%53909eef20f70186a0e366b5 #%539087f820f70186a0d711ea #%5390881220f70186a0d7dbaf #%5390881720f70186a0d7fabc #%539089ab20f70186a0d95db3 #%539089d320f70186a0d9b2f7 #%53908a5820f70186a0da12d4 #%53908af920f70186a0daf21a #%53908b0320f70186a0db24ec #%53908e0020f70186a0dd5164 #%53908e0020f70186a0dd5168 #%5390940220f70186a0de80d0 #%5390940320f70186a0de97e6"	#*Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project. #@Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin #t2001 #cSIGMOD Record #index53e9987db7602d97020b8d3e #%53e9b59ab7602d97040de64d #%53e9ab5ab7602d97034f2493 #%53e999d2b7602d9702217013 #%53e9acfdb7602d97036da631 #%53e9a263b7602d9702b6bead #%53e9b8e8b7602d97044c8ff7 #%53e9a7d5b7602d9703112b2b #%53e9b740b7602d97042dcb69 #%53e9ae4fb7602d970386983e #%53e9b34ab7602d9703e23ab8
"#*Wrapping web data into XML #@Wei Han, David Buttler, Calton Pu #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f59 #%539087dd20f70186a0d64510 #%539087e720f70186a0d69692 #%539087ef20f70186a0d6d9f3 #%539089d220f70186a0d9aaf9 #%53908bfb20f70186a0dc9e5f #%53908dff20f70186a0dd400b #!The vast majority of online information is part of the World Wide Web. In order to use this information for more than human browsing, web pages in HTML must be converted into a format meaningful to software programs. Wrappers have been a useful technique to convert HTML documents into semantically meaningful XML files. However, developing wrappers is slow and labor-intensive. Further, frequent changes on the HTML documents typically require frequent changes in the wrappers. This paper describes XWRAP Elite, a tool to automatically generate robust wrappers. XWRAP breaks down the conversion process into three steps. First, discover where the data is located in an HTML page and separating the data into individual objects. Second, decompose objects into data elements. Third, mark objects and elements in an output format. XWRAP Elite automates the first two steps and minimizes human involvement in marking output data. Our experience shows that XWRAP is able to create useful wrapper software for a wide variety of real world HTML documents."	#*Wrapping Web Data into XML. #@Wei Han, David Buttler, Calton Pu #t2001 #cSIGMOD Record #index53e9b2d2b7602d9703d82c8d #%53e9a562b7602d9702e8569a #%53e99cb5b7602d9702568b3f #%53e99dfeb7602d97026bfbea #%53e9af1eb7602d9703955fc5
"#*The evolution of effective B-tree: page organization and techniques: a personal account #@David Lomet #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f5d #%539087c720f70186a0d56dec #%539087e720f70186a0d68414 #%539087eb20f70186a0d6a53d #%539087ef20f70186a0d6c8e4 #%539087f820f70186a0d72e60 #%5390880220f70186a0d75f1f #%5390880d20f70186a0d7ae60 #%5390881220f70186a0d7e2fa #%5390893e20f70186a0d9285d #%53908a5720f70186a0d9ffe3 #%53908a5720f70186a0da0827 #%53908a5720f70186a0da0bf6 #%53908a9620f70186a0da49db #!An under-appreciated facet of index search structures is the importance of high performance search within B-tree internal nodes. Much attention has been focused on improving node fanout, and hence minimizing the tree height [BU77, LL86]. [GG97, Lo98] have discussed the importance of B-tree page size. A recent article [GL2001] discusses internal node architecture, but the subject is buried in a single section of the paper.In this short note, I want to describe the long evolution of good internal node architecture and techniques, including an understanding of what problem was being solved during each of the incremental steps that have led to much improved node organizations."	#*The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account. #@David B. Lomet #t2001 #cSIGMOD Record #index53e9a848b7602d97031923ec #%53e9a67cb7602d9702fae348 #%53e9b701b7602d970429a32c #%53e99827b7602d970204b1ad #%53e99f9cb7602d97028741f4 #%53e9be5db7602d9704b1d6ce #%53e9b59bb7602d97040e07ca #%53e9af4cb7602d970398b649 #%53e9b2c6b7602d9703d7208e
"#*ADAM: a testbed for exploring the use of data mining in intrusion detection #@Daniel Barbará, Julia Couto, Sushil Jajodia, Ningning Wu #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d97056 #%53909eef20f70186a0e366b5 #%539087be20f70186a0d51fe3 #%5390877f20f70186a0d312dd #%539087e120f70186a0d65523 #%539087fe20f70186a0d7392f #%5390882120f70186a0d85fc6 #%53908a9720f70186a0da67c5 #%53908b6c20f70186a0dbde1b #!Intrusion detection systems have traditionally been based on the characterization of an attack and the tracking of the activity on the system to see if it matches that characterization. Recently, new intrusion detection systems based on data mining are making their appearance in the field. This paper describes the design and experiences with the ADAM (Audit Data Analysis and Mining) system, which we use as a testbed to study how useful data mining techniques can be in intrusion detection."	#*ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection. #@Daniel Barbará, Julia Couto, Sushil Jajodia, Ningning Wu #t2001 #cSIGMOD Record #index53e99e04b7602d97026c6306 #%53e99a49b7602d97022ac2fe #%53e9aa23b7602d970338fb5d #%53e9a210b7602d9702b14b1f #%53e9a995b7602d97032f1406 #%53e998d5b7602d9702110243 #%53e9b34ab7602d9703e23ab8
"#*Information warfare and security #@H. V. Jagadish #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d9705c"	#*Information Warfare and Security - Book Review. #@H. V. Jagadish #t2001 #cSIGMOD Record #index53e9b621b7602d9704179194
"#*Book review column #@Karl Aberer #t2001 #cACM SIGMOD Record #index558f36690cf2c779a64787a8"	#*Book Review Column. #@Karl Aberer #t2001 #cSIGMOD Record #index53e997e9b7602d9701fe4526
"#*Special issue on data mining for intrusion detection and threat analysis #@Daniel Barbará #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d97054"	#*Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction. #@Daniel Barbará #t2001 #cSIGMOD Record #index53e9abf1b7602d97035b077b
"#*Advanced XML data processing: guest editor's introduction #@Karl Aberer #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f55 #%539087e720f70186a0d68403 #%5390881220f70186a0d7dbe4 #%53908a4020f70186a0d9e31a #%53908a7420f70186a0da43fd #%53908b2a20f70186a0db96de"	#*Advanced XML Data Processing - Guest Editor's Introduction. #@Karl Aberer #t2001 #cSIGMOD Record #index53e9a37ab7602d9702c86413 #%53e9b97cb7602d970456a2b5 #%53e9a946b7602d970329a9bf #%53e9ac0cb7602d97035cf89c
"#*SQL multimedia and application packages (SQL/MM) #@Jim Melton, Andrew Eisenberg #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d9705e #%5390881220f70186a0d7dbff #!Regular readers of this column will have become familiar with database language SQL -- indeed, most readers are already familiar with it. We have also discussed the fact that the SQL standard is being published in multiple parts and have even discussed one of those parts in some detail[l].Another standard, based on SQL and its structured user-defined types[2], has been developed and published by the International Organization for Standardization (ISO). This standard, like SQL, is divided into multiple parts (more independent than the parts of SQL, in fact). Some parts of this other standard, known as SQL/MM, have already been published and are currently in revision, while others are still in preparation for initial publication.In this issue, we introduce SQL/MM and review each of its parts, necessarily at a high level."	#*SQL Multimedia and Application Packages (SQL/MM). #@Jim Melton, Andrew Eisenberg #t2001 #cSIGMOD Record #index53e9bd11b7602d970499c03a #%53e9a07ab7602d9702963797
"#*Why and how to benchmark XML databases #@Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f58 #%539087e120f70186a0d665fd #%539087f320f70186a0d6f87f #%5390880d20f70186a0d7b5ec #%5390880d20f70186a0d7cd6c #%5390881220f70186a0d7e30a #%5390881220f70186a0d7e333 #%53908a7420f70186a0da4672 #%53908ac620f70186a0daa6ae #%53908b1820f70186a0db36e5 #%53908bfb20f70186a0dc9e66 #%53908d6520f70186a0dd0c5e #!Benchmarks belong to the very standard repertory of tools deployed in database development. Assessing the capabilities of a system, analyzing actual and potential bottlenecks, and, naturally, comparing the pros and cons of different systems architectures have become indispensable tasks as databases management systems grow in complexity and capacity. In the course of the development of XML databases the need for a benchmark framework has become more and more evident: a great many different ways to store XML data have been suggested in the past, each with its genuine advantages, disadvantages and consequences that propagate through the layers of a complex database system and need to be carefully considered. The different storage schemes render the query characteristics of the data variably different. However, no conclusive methodology for assessing these differences is available to date.In this paper, we outline desiderata for a benchmark for XML databases drawing from our own experience of developing an XML repository, involvement in the definition of the standard query language, and experience with standard benchmarks for relational databases."	#*Why And How To Benchmark XML Databases. #@Albrecht Schmidt 0002, Florian Waas, Martin L. Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse #t2001 #cSIGMOD Record #index53e9b4a1b7602d9703fad9ff #%53e9b57cb7602d97040be00a #%53e9b30ab7602d9703dce3a4 #%53e9a8e2b7602d9703230aa8 #%53e9b137b7602d9703bbcc97 #%53e9aa8eb7602d9703409427 #%53e9baadb7602d97046d866e #%53e9a85cb7602d97031a6fa3
"#*Describing semistructured data #@Luca Cardelli #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d9705d #%539087d920f70186a0d5ffa3 #%539087dd20f70186a0d64518 #%539087e720f70186a0d69670 #%539087f820f70186a0d714ba #%539087fe20f70186a0d73f9a #%539087fe20f70186a0d75e45 #%5390880220f70186a0d7712d #%5390882720f70186a0d8aa4f #%53908a5720f70186a0da07ca #%53908ac620f70186a0daa6af #%53908ac620f70186a0daa6b2 #!We introduce a rich language of descriptions for semistructured tree-like data, and we explain how such descriptions relate to the data they describe. Various query languages and data schemas can be based on such descriptions."	#*Describing Semistructured Data. #@Luca Cardelli #t2001 #cSIGMOD Record #index53e99813b7602d970202b96d #%53e9ab25b7602d97034ae5a9 #%53e9a298b7602d9702b9f26f #%53e997b2b7602d9701f8f664 #%53e9b295b7602d9703d3a467 #%53e9989bb7602d97020d5003 #%53e9bc31b7602d970489fcdc
"#*Data analysis and mining in the life sciences #@Nam Huyn #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f5f #%539087be20f70186a0d51fe3 #%539087dd20f70186a0d634a2 #%539087e720f70186a0d6828c #%5390880220f70186a0d77f9a #%5390877920f70186a0d2d2f0 #%5390882720f70186a0d8ac98 #%53908a9620f70186a0da47cd #!Biotech companies routinely generate vast amounts of biological measurement data that must be analyzed rapidly and mined for diagnostic, prognostic, or drug evaluation purposes. While these data analysis tasks are critical to their success, they have not benefited from recent advances that emerged from database and KDD research. In this paper, we focus on two such tasks: on-line analysis of clinical study data, and mining broad datasets for biomarkers. We examine the new requirements that are not met by current data analysis technologies and we identify new database and KDD research to address these needs. We describe our experience implementing a Scientific OLAP system and a data mining platform for the support of biomarker discovery at SurroMed, and we outline some key technical challenges that must be overcome before data analysis and data mining technologies can be widely adopted in the biotech industry."	#*Data Analysis and Mining in the Life Sciences. #@Nam Huyn #t2001 #cSIGMOD Record #index53e9b46fb7602d9703f703d9 #%53e9bb72b7602d97047b70c0 #%53e9a0d1b7602d97029b7a9e #%53e99fbcb7602d9702898c46 #%53e9b32bb7602d9703dfcb36
"#*On the academic interview circuit: an end-to-end discussion #@Uğur Çetintemel #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d97060 #!This article summarizes my recent job search that effectively began in the late fall of 2000 and ended in the early summer of 2001. The opinions I express here are largely based on what I experienced, heard and read from various sources, and should be taken as mere tips or suggestions for Ph.D. students who are soon to graduate and look for a position in a research-oriented academic institution.This is by no means a comprehensive guide to job searching: in limited space, I address only the issues that I deem more relevant or important, in an effort to provide information and insight that I believe is not readily available elsewhere. I do, however, try to provide pointers to (hopefully) complementary information throughout the text wherever appropriate and in Section 13.Figure 1 illustrates the typical timeline for the entire process, from pre-application to final decision, and the documents and activities required at each stage. The rest of the article briefly discusses each of these stages."	#*On the Academic Interview Circuit: An End-to-End Discussion. #@Ugur Çetintemel #t2001 #cSIGMOD Record #index53e99a0ab7602d970225bdc5
"#*XQuery formal semantics state and challenges #@Peter Fankhauser #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f56 #%5390880720f70186a0d793a5 #%5390880d20f70186a0d7af84 #%53908a5720f70186a0da0aeb #%53908ac620f70186a0daa6b5 #!The XQuery formalization is an ongoing effort of the W3C XML Query working group to define a precise formal semantics for XQuery. This paper briefly introduces the current state of the formalization and discusses some of the more demanding remaining challenges in formally describing an expressive query language for XML."	#*XQuery Formal Semantics: State and Challenges. #@Peter Fankhauser #t2001 #cSIGMOD Record #index53e9ada5b7602d97037a5b84 #%53e9a5fdb7602d9702f2be26 #%53e99a52b7602d97022b9950
"#*Career-enhancing services at SIGMOD online #@Alexandros Labrinidis, Alberto O. Mendelzon #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f61 #%5390880220f70186a0d77f54 #!This article serves three purposes. First of all, to introduce dbjobs, the database of database jobs, and also describe its functionality and architecture. Secondly, to present statistics for the dbgrads system, after 18 months of continuous operation. Finally, to describe exciting future projects for SIGMOD Online."	#*Career-Enhancing Services at SIGMOD Online. #@Alexandros Labrinidis, Alberto O. Mendelzon #t2001 #cSIGMOD Record #index53e9a317b7602d9702c230ca #%53e9b310b7602d9703dd84b6
"#*Using unknowns to prevent discovery of association rules #@Yücel Saygin, Vassilios S. Verykios, Chris Clifton #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d97059 #%539087f320f70186a0d70da3 #%5390880220f70186a0d75f15 #%5390880d20f70186a0d7d2ff #%5390881220f70186a0d7e2b1 #%53908b0320f70186a0db301a #%53908b6c20f70186a0dbea51 #%5390962020f70186a0df3a42 #!Data mining technology has given us new capabilities to identify correlations in large data sets. This introduces risks when the data is to be made public, but the correlations are private. We introduce a method for selectively removing individual values from a database to prevent the discovery of a set of rules, while preserving the data for other applications. The efficacy and complexity of this method are discussed. We also present an experiment showing an example of this methodology."	#*Using Unknowns to Prevent Discovery of Association Rules. #@Yücel Saygin, Vassilios S. Verykios, Chris Clifton #t2001 #cSIGMOD Record #index53e9a00ab7602d97028eb732 #%53e99ce5b7602d970259a066 #%53e9b46fb7602d9703f6fa53 #%53e9bdd4b7602d9704a83892 #%53e9b37ab7602d9703e58523 #%53e997f1b7602d9701feff72
"#*Preservation of digital data with self-validating, self-instantiating knowledge-based archives #@Bertram Ludäscher, Richard Marciano, Reagan Moore #t2001 #cACM SIGMOD Record #index539089ab20f70186a0d96f5c #%539087cb20f70186a0d5afa8 #%539087f820f70186a0d715b9 #%53908bcc20f70186a0dc4fd3 #!Digital archives are dedicated to the long-term preservation of electronic information and have the mandate to enable sustained access despite rapid technology changes. Persistent archives are confronted with heterogeneous data formats, helper applications, and platforms being used over the lifetime of the archive. This is not unlike the interoperability challenges, for which mediators are devised. To prevent technological obsolescence over time and across platforms, a migration approach for persistent archives is proposed based on an XML infrastructure.We extend current archival approaches that build upon standardized data formats and simple metadata mechanisms for collection management, by involving high-level conceptual models and knowledge representations as an integral part of the archive and the ingestion/migration processes. Infrastructure independence is maximized by archiving generic, executable specifications of (i) archival constraints (i.e., \"model validators\"), and (ii) archival transformations that are part of the ingestion process. The proposed architecture facilitates construction of self-validating and self-instantiating knowledge-based archives. We illustrate our overall approach and report on first experiences using a sample collection from a collaboration with the National Archives and Records Administration (NARA)."	#*Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives. #@Bertram Ludäscher, Richard Marciano, Reagan Moore #t2001 #cSIGMOD Record #index53e9b6abb7602d970422aac5 #%53e9b6f3b7602d9704285a21 #%53e9af68b7602d97039abdf1
